timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1744890649911,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1101918,Scenario 3 - Return Cars 3-10,text,false,,1200,0,1,1,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1101918,0,0,0
1744890650009,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1020,Scenario 3 - Return Cars 3-11,text,false,,1193,0,1,1,http://localhost:8080/cars/return/ABC-${returnRegNum}1020,0,0,0
1744890650010,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}110212,Scenario 3 - Return Cars 3-11,text,false,,1199,0,1,1,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}110212,0,0,0
1744890650111,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1022,Scenario 3 - Return Cars 3-12,text,false,,1193,0,1,1,http://localhost:8080/cars/return/ABC-${returnRegNum}1022,0,0,0
1744890650111,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1102322,Scenario 3 - Return Cars 3-12,text,false,,1200,0,1,1,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1102322,0,0,0
1744890650209,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1024,Scenario 3 - Return Cars 3-13,text,false,,1193,0,1,1,http://localhost:8080/cars/return/ABC-${returnRegNum}1024,0,0,0
1744890650210,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1102524,Scenario 3 - Return Cars 3-13,text,false,,1200,0,1,1,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1102524,0,0,0
1744890650313,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1026,Scenario 3 - Return Cars 3-14,text,false,,1193,0,1,1,http://localhost:8080/cars/return/ABC-${returnRegNum}1026,0,0,0
1744890650314,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1102726,Scenario 3 - Return Cars 3-14,text,false,,1200,0,1,1,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1102726,0,0,0
1744890650413,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1028,Scenario 3 - Return Cars 3-15,text,false,,1193,0,1,1,http://localhost:8080/cars/return/ABC-${returnRegNum}1028,0,0,0
1744890650414,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1102928,Scenario 3 - Return Cars 3-15,text,false,,1200,0,1,1,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1102928,0,0,0
1744890650511,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1030,Scenario 3 - Return Cars 3-16,text,false,,1193,0,1,2,http://localhost:8080/cars/return/ABC-${returnRegNum}1030,0,0,0
1744890650511,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}110313,Scenario 3 - Return Cars 3-16,text,false,,1199,0,1,2,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}110313,0,0,0
1744890650610,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1032,Scenario 3 - Return Cars 3-17,text,false,,1193,0,1,1,http://localhost:8080/cars/return/ABC-${returnRegNum}1032,0,0,0
1744890650610,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1103332,Scenario 3 - Return Cars 3-17,text,false,,1200,0,1,1,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1103332,0,0,0
1744890650710,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1034,Scenario 3 - Return Cars 3-18,text,false,,1193,0,1,1,http://localhost:8080/cars/return/ABC-${returnRegNum}1034,0,0,0
1744890650710,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1103534,Scenario 3 - Return Cars 3-18,text,false,,1200,0,1,1,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1103534,0,0,0
1744890650812,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 39: http://localhost:8080/cars/return/ABC-${returnRegNum}1036,Scenario 3 - Return Cars 3-19,text,false,,1193,0,1,1,http://localhost:8080/cars/return/ABC-${returnRegNum}1036,0,0,0
1744890650812,0,POST Return Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 43: http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1103736,Scenario 3 - Return Cars 3-19,text,false,,1200,0,1,1,http://localhost:8080/cars/return/ABC-ABC-${returnRegNum}1103736,0,0,0
